No,name,type,rating,count,code location,link
34,ISSARA Coffee Space,,4.8,102,Q2Q2+6C เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/SXStGu9PxEL4wBENA
35,Still.Coffee&Life,,4.5,149,Q2Q2+GJ เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/LfdFgx48gJbitR6K9
36,es•pe•cial Coffee Bar,,4.7,114,Q2P4+X9 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/KAduzi8g4HT73hNZ9
37,Simply Happy - สุขพอดี,,4.7,407,Q2M4+FJ เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ocEhbzEFivbEvv5o8
38,Gateway Coffee Roaster,,4.4,468,QXQW+8C เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/C9WnKnouJGbiP3pm6
39,Cafe Wander,,4.2,136,Q2M3+JF เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/AaTbbHDrUMP95mLt7
40,ZEIT Roasters CAFE - Brewing Lab & Coffee Shop,,4.9,130,Q2M3+7C เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/DaLgUSw4MPbFS7Vi7
41,Eternity - Specialty Coffee & Cult Cafe Thapae,,4.5,283,QXQW+7M เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/DeEts9bVkodovEdF7
42,Looper Co.,,4.6,335,QXVW+7P เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/zDn5vwMVeuRn2CW9A
43,Weave Artisan Society,,4.7,249,QXGP+FC เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/qMSJtSDNjjDtTMc69
44,บ้านเลขที่สามสาม - House Number 33,,4.6,160,QXXG+W4 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/TQsYa3VBZiufB8L3A
45,KRISP Café,,4.6,383,RX5M+J2 เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/cRViAWMS2MJbQc1e8
46,1988 Café,,4.5,138,R286+PM ตำบล ฟ้าฮ่าม อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/tPZ2YBrJuLAQXZ5B9
47,BOB Coffee - บ็อบ,,4.6,208,RX2J+JG เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ETARFFStPB6nVsFd6
48,เออร์ลี่ อาวส์,,4.6,1131,RX4Q+9J เทศบาลนครเชียงใหม่ อำเภอเมืองเชียงใหม่ เชียงใหม่,https://maps.app.goo.gl/ir5YiCRXxc1V5DhB6
